id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
1,Coal,1900,1,1,1,0.0
2,Coal,1900,2,1,1,0.0
3,Coal,1900,3,1,1,0.0
4,Gas,1900,1,1,1,0.0
5,Gas,1900,2,1,1,0.0
6,Gas,1900,3,1,1,0.0
7,Lignite,1900,1,1,1,0.0
8,Lignite,1900,2,1,1,0.0
9,Lignite,1900,3,1,1,0.0
10,Loss_of_load,1900,1,1,1,0.0
11,Loss_of_load,1900,2,1,1,0.0
12,Loss_of_load,1900,3,1,1,0.0
13,Oil,1900,1,1,1,0.0
14,Oil,1900,2,1,1,0.0
15,Oil,1900,3,1,1,0.0
16,WindOn,1900,1,1,1,-106.284856905148
17,WindOn,1900,2,1,1,0.0
18,WindOn,1900,3,1,1,0.0
